sample_id,depth_m,lithology,porosity_pct,permeability_mD,grain_density_g_cm3,water_saturation_pct
S054,2665.9,Sandstone,30.13,68.53,2.632,32.5
S055,2669.3,Shale,6.88,0.18,2.712,79.8
S056,2672.4,Sandstone,10.63,0.02,2.722,76.7
S057,2674.8,Shale,4.69,0.05,2.73,71.8
S058,2676.2,Sandstone,11.47,0.15,2.606,47.9
S059,2678.7,Sandstone,9.59,0.84,2.699,42.9
S060,2684.8,Sandstone,11.8,0.31,2.642,59.9
S061,2684.5,Sandstone,15.19,10.4,2.746,27.5
S062,2687.3,Limestone,30.95,358.6,2.689,39.2
S063,2691.7,Sandstone,26.02,2.04,2.686,32.8
S064,2695.4,Sandstone,23.85,177.86,2.721,63.1
S065,2696.7,Shale,30.33,328.97,2.7,38.1
S066,2702.4,Sandstone,12.79,0.33,2.645,36.6
S067,2703.4,Sandstone,15.44,0.8,2.7,41.5
S068,2708.2,Sandstone,24.95,107.55,2.645,53.4
S069,2711.2,Dolomite,4.01,0.03,2.648,45.9
S070,2713.8,Dolomite,22.92,114.03,2.735,70.7
S071,2716.3,Dolomite,8.75,0.86,2.723,67.6
S072,2721.3,Sandstone,22.84,62.07,2.622,18.2
S073,2722.9,Shale,31.55,88.5,2.694,28.6
S074,2725.9,Shale,23.5,7.32,2.622,63.1
S075,2728.3,Shale,28.99,1403.92,2.721,63.7
S076,2731.5,Dolomite,17.01,0.39,2.727,47.0
S077,2734.9,Dolomite,26.44,12.12,2.713,46.0
S078,2738.4,Dolomite,26.82,2.98,2.736,46.2
S079,2743.2,Sandstone,8.46,0.49,2.642,69.4
S080,2744.0,Sandstone,17.57,1.36,2.612,35.0
S081,2746.6,Sandstone,11.61,0.27,2.657,25.7
S082,2750.7,Shale,9.99,1.5,2.681,44.1
S083,2756.0,Dolomite,9.79,0.02,2.603,76.6
S084,2755.3,Shale,20.12,44.05,2.653,67.7
S085,2761.6,Dolomite,27.9,607.73,2.735,49.2
S086,2761.6,Shale,11.64,0.37,2.65,62.5
S087,2768.5,Sandstone,15.32,4.37,2.68,78.5
S088,2768.0,Sandstone,20.57,46.27,2.664,75.7
S089,2772.1,Shale,9.09,0.21,2.714,41.5
S090,2774.9,Shale,25.06,195.99,2.612,16.4
S091,2780.1,Sandstone,19.1,26.42,2.698,67.8
S092,2783.5,Sandstone,30.59,387.42,2.693,31.7
S093,2786.0,Shale,17.26,48.56,2.715,26.7
S094,2789.4,Sandstone,21.0,128.79,2.625,36.8
S095,2791.0,Shale,20.2,54.78,2.707,20.3
S096,2792.9,Sandstone,23.34,14.5,2.716,74.5
S097,2797.0,Sandstone,20.81,234.43,2.664,40.9
S098,2798.8,Limestone,18.17,81.96,2.663,49.3
S099,2804.6,Shale,16.14,0.4,2.665,66.4
S100,2807.4,Limestone,31.03,4148.02,2.738,69.2
S101,2811.4,Limestone,17.02,8.34,2.725,21.1
S102,2814.1,Sandstone,28.69,38.8,2.685,61.8
S103,2815.0,Shale,13.42,0.3,2.72,38.8
S104,2819.5,Limestone,28.65,207.27,2.677,28.4
S105,2823.2,Sandstone,10.76,0.1,2.697,49.4
S106,2824.7,Sandstone,26.2,225.73,2.661,32.0
S107,2828.3,Limestone,22.59,7.42,2.712,38.2
S108,2830.9,Limestone,23.68,129.01,2.635,65.5
S109,2833.6,Sandstone,12.84,0.72,2.711,34.4
S110,2838.3,Dolomite,20.51,0.4,2.747,73.3
S111,2839.5,Dolomite,12.29,0.33,2.607,18.8
S112,2844.7,Sandstone,12.18,1.65,2.713,22.2
S113,2845.9,Limestone,4.34,0.03,2.608,80.9
S114,2849.9,Sandstone,17.38,18.88,2.611,59.1
S115,2851.7,Limestone,5.5,0.19,2.637,54.1
S116,2857.7,Dolomite,15.65,9.33,2.634,51.6
S117,2858.8,Shale,16.61,0.24,2.693,57.7
S118,2863.2,Sandstone,24.72,134.01,2.64,20.7
S119,2865.6,Shale,10.72,0.19,2.689,35.4
S120,2869.7,Limestone,10.48,0.29,2.668,63.1
S121,2871.7,Sandstone,29.87,476.84,2.682,60.3
S122,2873.4,Sandstone,29.44,39.74,2.625,36.5
S123,2878.1,Sandstone,24.97,19.79,2.646,43.2
S124,2881.3,Dolomite,11.62,0.34,2.612,17.8
S125,2883.3,Sandstone,16.1,1.64,2.701,75.2
S126,2889.5,Sandstone,20.44,29.87,2.701,33.9
S127,2892.3,Shale,5.13,0.06,2.627,56.0
S128,2895.6,Shale,21.77,3.89,2.671,43.6
S129,2897.6,Shale,12.99,1.7,2.643,81.2
S130,2898.0,Dolomite,26.78,171.42,2.613,32.7
S131,2903.6,Sandstone,7.25,0.18,2.681,43.9
S132,2906.6,Limestone,9.25,0.02,2.675,45.9
S133,2909.0,Limestone,5.45,0.06,2.705,23.5
S134,2913.5,Dolomite,31.25,1008.44,2.706,36.8
S135,2915.2,Sandstone,4.38,0.02,2.618,73.3
S136,2918.5,Limestone,17.95,8.44,2.641,73.4
S137,2920.4,Shale,31.45,559.0,2.69,67.2
S138,2923.8,Sandstone,7.82,0.86,2.719,44.0
S139,2928.7,Limestone,30.16,25.89,2.726,55.6
S140,2930.7,Sandstone,22.48,20.79,2.673,38.3
S141,2935.9,Sandstone,25.36,6.37,2.636,41.8
S142,2935.3,Shale,27.97,1471.53,2.712,64.4
S143,2940.2,Sandstone,26.72,21.86,2.606,50.2
S144,2944.8,Sandstone,20.53,45.79,2.666,51.8
S145,2944.7,Sandstone,16.79,2.58,2.717,33.6
S146,2950.1,Shale,21.45,4.08,2.728,74.7
S147,2954.1,Shale,28.06,67.19,2.605,19.8
S148,2957.7,Limestone,21.67,40.64,2.712,45.4
S149,2957.5,Shale,6.76,0.02,2.645,17.0
S150,2961.1,Sandstone,13.08,0.11,2.656,25.2
